Player Name,Ping,Kills,Assists,Deaths,MVP,HSP,Score
sn0w,0,21,5,23,4,27,52
abhi17,45,20,4,22,3,25,52
DNB,55,16,3,22,0,25,38
Self Reliance,54,11,2,21,3,63,27
Corbeau-,46,36,4,12,6,63,90
a4ty,50,16,10,19,2,25,51
☆Luciel☆,56,22,2,18,5,50,49
♥ Khánh Huyền ♥,74,19,7,22,0,21,45
Crikman,53,14,2,20,2,21,33
Darktitan27,21,25,4,18,6,53,58
DaNooBro,35,23,2,14,5,30,54
reedkihaddi,31,18,1,16,0,55,44
bravesaw,48,16,7,15,3,72,42
abhi17,23,10,2,15,0,30,26
Gravity.^,25,20,2,18,0,15,51
2t3x™,17,17,3,20,2,41,44
.fAnG,27,17,7,16,3,52,43
☜✪gabrie1☞ d0gafan,21,14,4,20,0,28,34
KiLLe|2.w0w~,22,10,1,20,0,50,22
White Fang #JaiHind,15,21,4,20,4,33,52
BioShock #Baazigar,80,20,1,21,2,35,50
Prince,53,16,3,22,0,31,38
✪es3tag,37,12,0,20,0,66,25
shesha4572,5,3,2,22,0,33,14
sn0w,31,28,7,15,3,60,78
DNB,37,22,3,13,4,13,61
abhi17,24,25,4,15,4,28,60
reedkihaddi,45,15,8,16,2,37,41
pEhnol,36,13,1,15,3,30,30
reedkihaddi,62,29,8,18,4,31,69
DNB,52,24,5,17,8,25,57
p3ni5,227,20,4,19,2,35,48
abhi17,38,19,6,20,0,21,48
link1n,46,13,2,20,0,15,33
Mameuse,109,30,2,20,0,33,64
Doga™,21,23,1,19,2,30,53
Prison MIke,61,22,2,21,4,40,53
Leo,112,12,8,24,2,41,32
さくら えみ Emi Sakura,112,7,5,21,2,14,21
GrEc-Ko,13,24,6,19,5,44,61
Darktitan27,47,27,1,24,4,48,59
DNB,48,17,6,22,2,23,52
reedkihaddi,49,15,4,24,0,13,38
abhi17,41,10,6,23,0,30,33
Jihadi JOhNN!!(-_-)!!,33,32,4,17,5,50,74
Mr. Asscrack,27,19,4,19,6,36,58
zIon | zOrO,6,23,3,21,0,30,55
☠︎Charizard(-_-)™,22,22,3,18,4,39,54
-sh1nzo,22,14,3,20,0,78,35
JK,5,21,4,17,6,42,54
✪Captain_America,5,21,1,22,3,31,45
Uchiha Madar,95,16,5,21,0,29,44
Dracarys,54,14,4,23,0,40,39
Coconut Tree 🌴,15,12,6,23,0,41,30
Darktitan27,46,29,5,23,6,41,67
abhi17,23,21,5,14,5,28,57
Self Reliance,50,19,1,15,3,50,51
DNB,47,17,5,18,0,41,43
reedkihaddi,46,16,4,18,0,56,41
Hound,41,21,5,10,3,52,49
Chee Ting,27,20,6,11,3,55,48
Katana #HSM,5,19,4,12,3,63,42
reedkihaddi,55,15,7,16,3,33,39
ThE RuLeR |G402|,61,14,2,10,4,21,38
mnoob,84,10,4,18,2,40,38
DOOMYYYYY,87,16,3,16,0,37,37
jmt,78,15,0,20,0,60,32
shAdy,11,11,3,18,0,54,25
sensor,0,5,0,17,0,50,11
reedkihaddi,61,23,7,16,4,43,60
abhi17,52,23,5,17,4,34,55
Xinecraft,100,17,6,17,2,17,55
pEhnol,51,20,4,16,2,35,47
link1n,32,17,5,16,4,29,44
dtac,67,30,4,19,0,36,71
RamiT inmah Ashol,74,19,1,19,4,31,50
Konan Bakary,65,13,5,20,2,23,34
Anand Kala,81,11,3,21,3,45,34
Pakalu Papito,0,-1,0,1,0,0,0
✮kyonkun,68,30,1,22,6,36,62
Fnatic JW,40,23,3,21,0,30,49
Supreme Noodles,71,17,5,19,3,35,45
skadaddy,187,16,3,21,2,31,42
f0rest,45,10,3,24,0,30,30
DNB,44,26,3,16,4,19,68
sn0w,46,26,3,21,5,29,61
reedkihaddi,73,26,5,19,4,34,60
abhi17,39,14,4,17,0,40,43
link1n,46,13,8,25,2,23,38
✪ Nick,89,29,6,21,6,55,64
iB,89,19,2,13,4,15,49
Are u happy now ???,102,24,0,14,4,37,48
OPEX /,0,14,3,11,0,35,35
Deathstroke,79,9,4,19,0,11,22
reedkihaddi,57,26,1,18,4,15,56
link1n,47,13,2,20,0,30,39
p3ni5,228,14,3,21,0,35,37
b3nd3r,111,14,3,19,0,50,33
abhi17,52,13,6,20,2,15,32
reedkihaddi,52,21,5,13,6,42,50
p3ni5,235,18,4,11,3,27,43
abhi17,51,16,6,11,2,47,41
b3nd3r,111,16,1,12,2,37,40
link1n,46,12,4,15,3,38,33
﷽ Yami Bakura,58,17,4,18,2,11,38
LONEWOLF,57,14,1,16,0,57,36
NINJA,46,13,2,16,2,30,30
$$ SAY10 $$,87,10,3,17,0,20,27
Nomad,66,6,4,18,0,50,16
Darktitan27,83,25,4,16,5,44,56
p3ni5,202,16,4,17,4,37,43
reedkihaddi,95,18,1,17,3,27,37
bravesaw,50,13,2,10,3,46,31
DaNooBro,83,12,4,20,0,23,29
Bae Joo-hyun ツ,39,24,6,21,4,24,56
Death,37,22,2,17,0,18,50
Mr.Yakki,41,13,2,17,2,46,32
`MyLife,38,12,8,20,0,33,32
Pidolski,163,12,3,17,0,33,28
Hertivax,103,25,6,21,4,44,61
.,33,22,4,24,3,9,55
DigiG,82,20,5,23,2,30,48
USWAH KONTOL KECIL,63,18,0,20,3,27,45
Nationalsozialistische Deutsche,43,13,8,25,0,30,37
Darktitan27,46,41,2,22,9,41,87
DaNooBro,60,19,6,18,2,21,50
reedkihaddi,74,14,6,20,2,21,41
p3ni5,227,14,7,24,2,35,40
abhi17,0,4,3,5,0,20,13
FANZ3R,64,23,2,18,4,52,58
✟☯✟JIN✟☯✟,90,20,4,21,0,30,48
HaldiRam,0,19,3,20,2,26,45
Ghost,20,15,6,23,2,40,41
John #30 FPS,74,11,5,21,0,33,28
Darktitan27,46,33,5,18,9,72,82
DaNooBro,48,25,2,15,3,48,58
reedkihaddi,55,18,1,18,3,33,43
p3ni5,256,15,5,19,0,20,35
abhi17,32,13,5,19,0,46,31
nave[S],60,29,2,13,3,44,66
Tssunami-,46,23,6,21,3,21,58
ุ,46,20,4,16,3,30,49
Tom[s],56,20,5,17,2,40,46
Lynx hellcase.com,52,12,7,15,5,41,39
DaNooBro,50,26,3,21,4,19,66
Darktitan27,46,22,2,21,0,36,52
Noobi3,46,14,2,19,3,21,41
abhi17,54,8,4,19,0,22,26
reedkihaddi,55,8,4,22,0,25,24
ALMIGHTY PUSH,58,30,4,16,4,26,72
poppodoggu❤,53,26,6,17,4,34,61
Puracan,32,24,5,17,4,8,54
e n ! x,31,17,2,21,4,29,43
K1ng,72,11,3,19,0,18,28
DNB,51,23,3,20,3,21,61
p3ni5,222,22,0,22,3,33,48
abhi17,52,18,4,22,2,50,42
reedkihaddi,53,13,5,22,2,23,34
sn0w,46,11,6,25,0,50,30
DNB,63,28,5,15,6,25,74
reedkihaddi,55,22,1,17,2,45,48
p3ni5,238,16,1,21,3,43,48
abhi17,45,19,3,17,3,21,46
sn0w,55,17,2,21,2,47,45
GFORGOD,60,20,6,17,3,35,50
virus,38,20,0,19,3,30,49
vÏrÙs,61,21,0,21,2,47,45
Feral,0,16,4,22,2,50,38
Hope,79,14,3,22,0,50,36
CommanderX,51,21,3,21,0,33,47
Sakaido,70,18,0,19,5,22,45
BAD ShiroYaksha◕‿◕,20,16,2,21,0,56,35
TrT ! OverdOze,0,7,2,19,0,44,17
amirhosein,0,4,1,17,0,20,9
sn0w,33,26,4,13,5,34,65
reedkihaddi,35,23,4,13,2,34,51
abhi17,25,21,5,15,4,52,48
DNB,41,18,3,11,3,33,45
p3ni5,246,12,4,19,2,33,39
Phurix,42,33,2,8,5,57,69
Doink Face,15,27,5,15,8,51,59
Loafman,30,18,4,6,3,44,58
Steely-P,41,14,6,9,0,28,36
Flex Tape,54,3,0,12,0,100,8
inFAMOUS,43,15,1,18,3,20,37
UnGato,22,11,1,18,0,72,30
p3ni5,25,10,1,21,0,60,24
MMMMK,15,8,1,19,0,50,19
reedkihaddi,275,6,4,19,0,33,19
DNB,42,25,9,20,0,20,60
sn0w,31,23,1,20,3,34,56
abhi17,0,20,6,17,5,33,53
reedkihaddi,47,20,4,23,5,40,48
link1n,31,13,1,19,2,30,30
NIP-FLOPSKI,58,24,2,19,5,45,58
Broken Angel,0,23,6,20,4,48,58
Shoopdoop...,45,26,2,21,0,42,57
stinky_pinky,48,11,4,21,0,27,33
mid is everything,42,14,2,24,0,42,31
✪yhf justin,49,28,2,24,4,60,64
Depression,41,27,4,24,3,22,63
ΜΓ ΓΘƁΘƬ,56,24,5,21,3,28,58
TranquiliZer,54,17,7,25,4,23,41
ScaryNinja,45,14,6,22,0,35,36
reedkihaddi,74,32,3,21,5,40,71
DNB,50,25,5,18,4,20,68
link1n,43,24,7,24,6,58,58
sn0w,47,21,11,24,0,28,55
abhi17,40,11,7,24,0,58,32
DaNooBro,62,27,4,16,2,18,64
sn0w,47,28,5,17,6,48,63
DNB,21,23,5,17,5,52,59
reedkihaddi,55,13,8,17,2,53,40
abhi17,45,14,4,20,0,7,34
Somedude1213,80,25,1,19,2,24,58
Juice!,104,22,1,20,4,26,50
WarMachineGhy,44,13,9,25,0,38,42
Blackfr0zt,101,10,2,22,0,40,31
C4RRY AWAKENS,76,15,0,21,3,46,30
boro,43,30,5,15,5,20,67
.,22,24,3,15,6,25,53
DJ,84,19,5,15,0,31,43
Izy7,83,17,0,13,3,41,40
deadeye,52,8,3,16,0,25,24
DaNooBro,43,17,3,19,3,35,43
DNB,36,16,2,17,3,88,40
sn0w,30,12,4,21,0,25,35
reedkihaddi,41,13,1,21,0,30,32
abhi17,27,14,1,20,0,28,29
Cheese,12,22,3,20,3,27,50
hitman02in,32,18,7,19,2,44,46
prateg,21,17,7,18,2,17,44
Dr. rer. nat. Saul,186,12,2,21,0,30,32
Count Ostula,244,10,4,22,0,30,26
100T B4NDOOK,16,29,6,14,7,26,77
AebytD,74,21,3,18,3,23,60
reedkihaddi,47,23,3,15,3,21,50
abhi17,27,15,4,17,0,20,37
AnTon★,13,9,3,18,2,50,23
🔟█▬█ █ ▀█▀──═デ╦︻🅰,110,36,3,14,6,58,77
Trouble_boy,51,21,5,17,2,28,52
zozoboywasted,31,19,3,13,5,36,50
Rambo #GandMardengeBro,58,16,4,15,2,37,37
<<sn:::{{O_O}}:::as>>,56,12,5,17,0,33,33
Darktitan27,29,23,4,19,3,52,53
reedkihaddi,39,18,0,19,0,44,45
p3ni5,249,17,0,23,2,41,39
Noobi3,31,10,4,22,2,50,27
DaNooBro,136,8,5,20,0,25,25
try positive,52,8,0,8,0,25,16
＃🅝🅔🅦🅓🅤🅓🅔,0,5,1,7,0,16,11
Saintz,103,4,1,9,0,25,9
kpshen,87,3,1,8,0,33,7
Maddy,0,1,0,9,0,100,2
Darktitan27,46,15,0,3,4,60,34
reedkihaddi,57,8,0,2,3,37,25
DaNooBro,154,7,0,6,0,28,18
p3ni5,228,6,1,6,0,33,15
Noobi3,62,5,2,5,0,40,12
zaxini,37,22,2,7,5,31,50
011,53,21,3,9,5,71,45
Butcher,86,16,6,11,3,37,43
K!ll $hoT,71,14,4,10,2,21,32
Not_So_Genius,67,10,5,8,0,50,27
link1n,30,16,0,16,2,31,43
reedkihaddi,43,12,1,17,0,50,27
abhi17,26,8,1,18,0,25,18
pEhnol,49,7,0,18,0,14,15
Self Reliance,94,-1,2,15,0,50,3
cream,112,28,4,15,4,21,64
Metal_militiA,75,23,7,20,5,47,57
Ramble On,0,24,5,23,2,58,55
